,ID,Table,Person,Arrival,Duration,Tentative Departure,Departure,Indicator,Neighbors
78,78,Z,4,2019-01-01 19:24:02.012465,93.09503446400753,2019-01-01 20:48:39.923436,2019-01-01 20:57:07.714533,1,"[(1, 125), (3, 149), (6, 174)]"
79,79,E,5,2019-01-01 20:02:13.374707,46.71391631754169,2019-01-01 20:48:56.209686,2019-01-01 20:48:56.209686,0,[]
80,80,G1,4,2019-01-01 19:53:55.032334,61.54875909917204,2019-01-01 20:49:52.237376,2019-01-01 20:55:27.957880,1,"[(3, 157)]"
81,81,E1,1,2019-01-01 19:49:51.384473,67.1230354081881,2019-01-01 20:50:52.640950,2019-01-01 20:56:58.766597,1,"[(2, 83), (4, 86), (7, 150), (8, 173)]"
82,82,R,1,2019-01-01 19:46:27.997572,71.22429007225963,2019-01-01 20:51:12.958849,2019-01-01 20:57:41.454976,1,"[(2, 109), (4, 141), (6, 187)]"
83,83,E1,2,2019-01-01 19:49:13.774784,68.31125291122315,2019-01-01 20:51:19.843125,2019-01-01 20:57:32.449959,1,"[(1, 81), (2, 83), (4, 86), (7, 150), (8, 173)]"
84,84,F1,5,2019-01-01 19:56:47.428987,60.28693455514423,2019-01-01 20:51:35.807235,2019-01-01 20:57:04.645060,1,"[(7, 99), (4, 121), (2, 148), (3, 168)]"
85,85,C1,6,2019-01-01 19:39:27.233573,79.79438144269143,2019-01-01 20:51:59.654379,2019-01-01 20:59:14.896460,1,"[(3, 105), (5, 130), (7, 184)]"
86,86,E1,4,2019-01-01 20:10:51.838013,45.92387247259843,2019-01-01 20:52:36.776512,2019-01-01 20:56:47.270361,1,"[(1, 81), (2, 83), (4, 86), (7, 150), (8, 173)]"
87,87,D1,5,2019-01-01 19:34:08.690675,86.45496890932878,2019-01-01 20:52:44.416252,2019-01-01 21:00:35.988810,1,"[(2, 170)]"
88,88,A1,7,2019-01-01 19:51:35.983990,67.36163956743452,2019-01-01 20:52:50.255239,2019-01-01 20:58:57.682364,1,"[(3, 94), (8, 154), (5, 162)]"
89,89,L,5,2019-01-01 20:14:33.884371,43.88152775183527,2019-01-01 20:54:27.422248,2019-01-01 20:58:26.776036,1,"[(3, 92), (4, 135), (1, 140), (6, 180)]"
90,90,T,6,2019-01-01 19:36:24.663235,85.89801946867894,2019-01-01 20:54:30.009751,2019-01-01 21:02:18.544403,1,"[(7, 137)]"
91,91,O,3,2019-01-01 20:03:37.633551,56.331247127928144,2019-01-01 20:54:50.247031,2019-01-01 20:59:57.508379,1,"[(6, 119)]"
92,92,L,3,2019-01-01 19:55:35.247957,65.18942726318996,2019-01-01 20:54:51.034899,2019-01-01 21:00:46.613593,1,"[(5, 89), (3, 92), (4, 135), (1, 140), (6, 180)]"
93,93,W,7,2019-01-01 19:56:03.244130,65.94146706239668,2019-01-01 20:56:00.051424,2019-01-01 21:01:59.732154,1,"[(4, 97), (5, 190)]"
94,94,A1,3,2019-01-01 20:01:23.685117,61.101806590528035,2019-01-01 20:56:56.510931,2019-01-01 21:02:29.793512,1,"[(7, 88), (3, 94), (8, 154), (5, 162), (2, 191)]"
95,95,H,5,2019-01-01 20:34:02.371292,27.197094691912735,2019-01-01 20:58:45.849184,2019-01-01 21:01:14.196974,1,"[(7, 111), (1, 194)]"
96,96,C,4,2019-01-01 20:13:22.928091,51.11036508783028,2019-01-01 20:59:50.766187,2019-01-01 21:04:29.549996,1,"[(3, 171), (6, 176), (7, 186), (8, 192)]"
97,97,W,4,2019-01-01 19:42:49.659162,86.88306139601005,2019-01-01 21:01:48.735238,2019-01-01 21:09:42.642846,1,"[(7, 93), (4, 97), (5, 190)]"
98,98,J,8,2019-01-01 19:48:52.862367,80.2947964043375,2019-01-01 21:01:52.578535,2019-01-01 21:09:10.550151,1,"[(6, 104), (1, 136), (3, 163)]"
99,99,F1,7,2019-01-01 19:45:44.056181,84.63201683673638,2019-01-01 21:02:40.348008,2019-01-01 21:10:21.977191,1,"[(4, 121), (2, 148), (3, 168)]"
100,100,S,1,2019-01-01 19:17:03.667698,106.66667863428665,2019-01-01 21:03:43.668416,2019-01-01 21:03:43.668416,0,[]
101,101,V,1,2019-01-01 19:51:26.679207,79.80286623785122,2019-01-01 21:03:59.562820,2019-01-01 21:11:14.851181,1,"[(3, 139), (7, 146), (4, 161), (2, 177)]"
102,102,X,4,2019-01-01 20:35:23.135865,34.59057684640808,2019-01-01 21:06:49.894602,2019-01-01 21:09:58.570476,1,"[(5, 159)]"
103,103,K,4,2019-01-01 20:28:00.182410,43.01314061328763,2019-01-01 21:07:06.353716,2019-01-01 21:11:00.970847,1,"[(7, 131), (8, 133), (3, 166)]"
104,104,J,6,2019-01-01 19:54:38.618516,80.70793342439696,2019-01-01 21:08:00.869430,2019-01-01 21:15:21.094521,1,"[(8, 98), (6, 104), (1, 136), (3, 163)]"
105,105,C1,3,2019-01-01 20:11:28.239778,63.279609147439515,2019-01-01 21:08:59.854822,2019-01-01 21:14:45.016327,1,"[(5, 130), (7, 184)]"
106,106,B,8,2019-01-01 20:26:59.064686,46.347273508780006,2019-01-01 21:09:07.097786,2019-01-01 21:13:19.901097,1,"[(3, 142), (5, 151)]"
107,107,J1,5,2019-01-01 20:36:57.215769,35.58391240067636,2019-01-01 21:09:18.156445,2019-01-01 21:12:32.250513,1,"[(2, 134), (1, 147), (3, 165)]"
