,0
433,2113.273381764516
434,2189.5232849064514
435,2250.553831564516
436,2313.2641191129032
437,2307.8703755580646
438,2348.0627724451615
439,2483.875201993548
440,2172.154764516129
441,2444.008255470968
442,2291.8093297870964
443,2271.1651583548387
444,2317.3700964161294
445,2465.625006312903
446,2444.0365918709676
447,2246.816790864516
448,2181.113017774194
449,2233.979476312903
450,2230.1671153709676
451,2349.316406880645
452,2174.1444339419354
453,2324.550196632258
454,2209.578213322581
455,2338.464877658065
456,2229.24507973871
457,2189.1655298741935
458,2139.5689348096776
459,2330.2923667451614
460,2289.3017229903226
461,2313.52968133871
462,2204.3820291612906
463,2228.605021335484
464,2373.2080889741937
465,2177.353135393548
466,2231.5773050548387
467,2281.2282742741936
468,2234.844059103226
469,2238.329347683871
470,2305.5806825967743
471,2105.3238365354837
472,2224.4599287612905
473,2266.520379067742
474,2300.803717648387
475,2248.1947990741933
476,2309.9358170870964
477,2345.0163007419355
478,2137.786415883871
479,2340.3340937935486
480,2156.986238029032
481,2247.0299755096776
482,2235.320212564516
483,2259.5892214741934
484,2072.045371245161
485,2219.9965645709676
486,2215.498518567742
487,2043.8478916967742
488,2281.4182772258064
489,2237.8397164774196
490,2318.1582268903226
491,2278.739702764516
492,2266.106509516129
493,2228.7903226709677
494,2160.4898090290326
495,2139.3205616387095
496,2069.1629481451614
497,2230.6495554806456
498,2258.0540989419355
499,2374.559197751613
